id,nct_id,phase
630,NCT05705518,PHASE4
631,NCT02465918,NA
632,NCT07599618,NA
633,NCT06776718,NA
634,NCT04847518,PHASE2
635,NCT04847518,PHASE3
636,NCT06859918,NA
637,NCT06471218,PHASE2
638,NCT01542918,PHASE1
639,NCT02179190,NA
640,NCT05340790,PHASE1
641,NCT06947590,NA
642,NCT06872190,NA
643,NCT06583590,PHASE2
644,NCT06583590,PHASE3
645,NCT00001890,PHASE2
646,NCT06015490,NA
647,NCT05624190,PHASE4
648,NCT03627390,PHASE2
649,NCT06933290,NA
650,NCT00801190,NA
651,NCT07254390,NA
652,NCT05056090,NA
653,NCT07418190,PHASE2
654,NCT02989090,NA
655,NCT05214690,PHASE1
656,NCT00208390,PHASE4
657,NCT00365690,PHASE2
658,NCT00365690,PHASE3
659,NCT00707590,PHASE1
660,NCT00541190,NA
661,NCT06153290,NA
662,NCT06407297,NA
663,NCT03153397,NA
664,NCT05011097,PHASE1
665,NCT01369797,NA
666,NCT04348097,NA
667,NCT01226797,PHASE2
668,NCT03207997,NA
669,NCT01274897,PHASE3
670,NCT06476197,NA
671,NCT02184897,NA
672,NCT00167297,PHASE2
673,NCT04437797,NA
674,NCT01741597,PHASE1
675,NCT04986397,NA
676,NCT02165397,PHASE3
677,NCT05524597,PHASE1
678,NCT04216797,PHASE4
679,NCT03726697,NA
680,NCT07123597,NA
681,NCT06121297,PHASE1
682,NCT06121297,PHASE2
683,NCT05740397,NA
684,NCT06617897,PHASE3
685,NCT06706297,NA
686,NCT00671697,PHASE1
687,NCT00055497,PHASE3
688,NCT03503110,NA
689,NCT00275210,PHASE3
690,NCT07331610,NA
691,NCT05359510,NA
692,NCT05355610,NA
693,NCT03318510,NA
694,NCT04424810,NA
695,NCT03166410,NA
696,NCT05039710,PHASE1
697,NCT01277510,PHASE3
698,NCT04947410,NA
699,NCT00416910,PHASE3
700,NCT02764710,PHASE3
701,NCT07633210,NA
702,NCT06668610,NA
703,NCT04079010,NA
704,NCT01338610,PHASE2
705,NCT00470210,PHASE4
706,NCT05819710,PHASE1
707,NCT02301910,PHASE3
708,NCT04643210,NA
709,NCT00601913,EARLY_PHASE1
710,NCT04287413,NA
711,NCT01229813,PHASE3
712,NCT01300013,PHASE2
713,NCT02906813,PHASE1
714,NCT02307513,PHASE3
715,NCT01751113,PHASE4
716,NCT04707313,PHASE2
717,NCT02743013,PHASE1
718,NCT01783613,NA
719,NCT02411513,PHASE1
720,NCT02347813,PHASE2
721,NCT03408613,NA
722,NCT02148913,PHASE1
723,NCT01773213,NA
724,NCT01257360,PHASE2
725,NCT03168360,NA
726,NCT05227560,NA
727,NCT05256160,NA
728,NCT06652360,NA
729,NCT05741060,PHASE2
730,NCT06605560,NA
731,NCT06645860,NA
732,NCT00448760,PHASE2
733,NCT00439660,PHASE1
734,NCT00439660,PHASE2
735,NCT07502820,PHASE3
736,NCT06102720,PHASE4
737,NCT03562520,NA
738,NCT00242320,PHASE3
739,NCT05088720,NA
740,NCT05720520,NA
741,NCT02774720,NA
742,NCT07627620,PHASE2
743,NCT05684120,NA
744,NCT07440420,NA
745,NCT01590420,PHASE4
746,NCT01834820,PHASE4
747,NCT03756220,PHASE2
748,NCT00333320,PHASE1
749,NCT00333320,PHASE2
750,NCT04124120,NA
751,NCT07658820,NA
752,NCT07489820,NA
753,NCT03335982,NA
754,NCT07642882,NA
755,NCT02626182,PHASE1
756,NCT02626182,PHASE2
757,NCT00711282,NA
758,NCT06067282,NA
759,NCT01805882,PHASE2
760,NCT07680582,EARLY_PHASE1
761,NCT07352982,NA
762,NCT06338982,NA
763,NCT01244282,PHASE1
764,NCT02432482,NA
765,NCT01489982,EARLY_PHASE1
766,NCT01681082,NA
767,NCT00877682,NA
768,NCT02676882,NA
769,NCT01989182,NA
770,NCT04925882,NA
771,NCT01097382,PHASE4
772,NCT02170324,PHASE4
773,NCT07409324,NA
774,NCT00982124,PHASE3
775,NCT07327424,NA
776,NCT05315024,NA
777,NCT06206824,PHASE1
778,NCT01790724,NA
779,NCT01092624,PHASE4
780,NCT00053924,PHASE2
781,NCT00186524,PHASE2
782,NCT07079124,NA
783,NCT05199324,PHASE4
784,NCT07098624,NA
785,NCT05369624,NA
786,NCT07404124,NA
787,NCT04685824,NA
788,NCT06739824,NA
789,NCT04419324,NA
790,NCT06776224,NA
791,NCT06729723,NA
792,NCT02472223,NA
793,NCT06322823,NA
794,NCT06750523,NA
795,NCT04171323,NA
796,NCT07594223,NA
797,NCT00832923,NA
798,NCT06845423,PHASE4
799,NCT04914923,NA
800,NCT03440723,NA
801,NCT03579823,PHASE1
802,NCT04357223,PHASE2
803,NCT02377323,NA
804,NCT07336823,EARLY_PHASE1
805,NCT03007823,PHASE1
806,NCT03007823,PHASE2
807,NCT01211223,PHASE4
808,NCT01571323,PHASE1
809,NCT01571323,PHASE2
810,NCT01268423,PHASE3
811,NCT00029159,PHASE3
812,NCT00001059,PHASE2
813,NCT07420959,PHASE1
814,NCT07420959,PHASE2
815,NCT00828659,PHASE1
816,NCT03774459,PHASE2
817,NCT03783559,PHASE3
818,NCT05502159,NA
819,NCT00988559,PHASE1
820,NCT05959759,PHASE4
821,NCT00992459,PHASE3
822,NCT04857359,PHASE2
823,NCT04857359,PHASE3
824,NCT07190859,NA
825,NCT04330859,NA
826,NCT00770159,PHASE1
827,NCT00605059,PHASE1
828,NCT00855959,PHASE3
829,NCT00497159,PHASE2
830,NCT02883959,NA
831,NCT01223859,NA
832,NCT04865159,PHASE1
833,NCT00348959,NA
834,NCT04338659,PHASE1
835,NCT03804359,PHASE2
836,NCT01700959,PHASE3
837,NCT05298059,NA
838,NCT00395759,NA
839,NCT03623659,NA
840,NCT06941259,NA
841,NCT00385359,PHASE4
842,NCT01933659,PHASE3
843,NCT03461159,NA
844,NCT03140280,PHASE2
845,NCT03549780,NA
846,NCT03019380,NA
847,NCT04507880,NA
848,NCT00895180,PHASE2
849,NCT02517580,PHASE2
850,NCT05397080,NA
851,NCT06775080,PHASE2
852,NCT01216280,PHASE2
853,NCT06560580,NA
854,NCT04797780,PHASE3
855,NCT02058680,PHASE1
856,NCT00320580,PHASE2
857,NCT02620280,PHASE3
858,NCT06158880,NA
859,NCT02221479,PHASE2
860,NCT00134979,PHASE4
861,NCT02503579,NA
862,NCT04565379,PHASE2
863,NCT00358579,PHASE3
864,NCT07663279,NA
865,NCT01987479,PHASE3
866,NCT06017479,PHASE1
867,NCT06017479,PHASE2
868,NCT01514279,NA
869,NCT02789579,EARLY_PHASE1
870,NCT00742079,PHASE4
871,NCT05420779,PHASE2
872,NCT06298279,NA
873,NCT04408079,PHASE1
874,NCT06853379,NA
875,NCT01156896,NA
876,NCT03903796,PHASE3
877,NCT04162496,NA
878,NCT01984996,NA
879,NCT05445596,NA
880,NCT01562496,NA
881,NCT06661096,NA
882,NCT01908296,PHASE1
883,NCT00756496,NA
884,NCT07489196,PHASE2
885,NCT04153396,PHASE4
886,NCT02299596,NA
887,NCT06267196,NA
888,NCT04993196,NA
889,NCT07603362,NA
890,NCT04881162,NA
891,NCT00994162,NA
892,NCT00130962,PHASE2
893,NCT03521362,NA
894,NCT04310462,NA
895,NCT01273662,PHASE2
896,NCT00595062,NA
897,NCT05315362,PHASE2
898,NCT00306462,NA
899,NCT06513962,PHASE3
900,NCT00663962,PHASE4
901,NCT02598362,PHASE4
902,NCT05834062,PHASE2
903,NCT01394562,PHASE3
904,NCT02155062,NA
905,NCT07310862,NA
906,NCT00205062,PHASE4
907,NCT00250562,PHASE3
908,NCT06088862,PHASE3
909,NCT04987762,PHASE4
910,NCT00828646,PHASE1
911,NCT04937946,PHASE4
912,NCT07047846,NA
913,NCT06387446,NA
914,NCT02807246,NA
915,NCT01981746,PHASE4
916,NCT04133246,NA
917,NCT07614646,PHASE1
918,NCT06886646,PHASE2
919,NCT04189146,NA
920,NCT07495046,NA
921,NCT03734146,NA
922,NCT01621646,NA
923,NCT07462546,NA
924,NCT00471146,PHASE3
925,NCT02771288,NA
926,NCT04075188,NA
